,B cells,CD4 T cells,CD8 T cells,DC1,DC2,Epithelial cells,Mast cells,Migratory DC,MoAM,Monocytes,Perivascular macrophages,Plasma cells,Proliferating T cells,Proliferating macrophages,SARS-CoV-2,TRAM,Tregs,gdT cells and NK cells,pDC
CRIP1,0.3827315994752608,0.4191355614653461,0.041331871436514,0.6505720017019931,0.2487288484717998,0.1197700935851178,-1.5541602116590325,1.7104036030839025,0.9478260628072452,-1.4673589123006183,-0.189219540457743,-0.2408689744161387,0.0756485261838075,1.491808616556528,-2.259283208276895,1.163999226197326,-0.1456056818576046,-0.6471288165372917,-0.7483306654595155
HLA-DQB2,-0.2446110806967108,-0.707099278816653,-0.6953572796010747,1.3568480728768253,2.653904096759736,-0.6732552179131488,-0.7649055774848464,1.7564921927001953,0.2013760975692236,-0.5641328664568599,0.6896304859041217,-0.7014550329066496,-0.7221927082052996,0.3099399832223445,-0.8493816960760313,0.9524344230339334,-0.7629767467148536,-0.7423182979843671,-0.4929395692098847
HLA-DRA,0.737891967835488,-1.0228063420653128,-0.9013872493888728,1.466101606538586,1.4496291776461276,-0.6855714731582719,-1.247705049372539,0.824935655506917,0.9061084219426764,0.1109474263750747,1.0659370443535212,-1.021173651867727,-0.7266388324518319,0.9015328184822978,-1.1302654286958005,1.1482487031564197,-1.169671889931288,-1.0852382307145254,0.3791253258090585
HLA-DQA1,0.580357484065249,-0.9508852364977852,-0.8606096270794452,2.049284885765578,1.7755660328927094,-0.8961365968638054,-1.0177182468720878,1.0607099210376394,0.5852431113847948,-0.2636730455305632,0.9439113769358842,-0.799201431267202,-0.8140926776825731,0.4640054392666976,-1.0581140153266688,0.944841325564714,-0.9755704737353996,-0.9423244079762716,0.1744061819185377
HLA-DPA1,0.6334247249126418,-0.883220964245319,-0.7412569430208018,2.0672474285271947,1.5668087297199047,-0.9950706576692842,-1.212977961255567,0.9071934886572024,0.6959868248100896,-0.0659672692254821,0.9044140049453814,-0.8758809822946625,-0.6947742640247968,0.6573896997852094,-1.1714812228556648,0.8979094301510672,-0.9391712417759932,-1.055456708131391,0.3048838829902694
HLA-DPB1,0.6449725722262152,-0.8489184341796214,-0.6632106393612215,2.129058743870298,1.579504691283245,-1.0328436242718828,-1.146505848593949,1.1348460096148745,0.6386721787212184,-0.0896584028690486,0.8596806158661783,-0.9892237970477212,-0.6288648244058591,0.5569020404877434,-1.229823126627736,0.7411021782683802,-0.9292682341609522,-0.9541462317379712,0.2277241329178089
LMNA,-0.324788357848116,-0.8968477831715808,-1.0756817666009997,1.2905335239356188,1.1519575451969697,0.3535424776252044,0.3771696081952673,-0.4688776623858984,1.4795929084254635,-0.5238043682219298,0.6953315572333887,-0.772205302430131,-1.0171929967094886,1.945819620366957,-1.305620443494783,1.215809928637459,-0.193142860043592,-0.9234623437560964,-1.008133284953712
CST3,-0.9007537802821196,-0.9937800777926262,-1.0241726232550616,2.2816701710534897,1.1394710580948295,-0.1953493246305336,-0.1743142478941618,-0.2147746013275476,0.9446779669714672,0.8405184639420858,1.0532020002825715,-0.8983899430713392,-1.0485292028657154,0.9446538410203644,-0.9963899005291854,1.0894385311624786,-1.0311872536581548,-0.8823783670160241,0.0663872897951825
HMOX1,-0.2909578512458485,-0.94285501985179,-0.9492967211019152,1.5494858675472212,0.4129313654913646,-0.7666652019123018,-0.9605528154635234,0.1507150461247453,1.2899199718429577,1.0981693512264898,1.8665621376167787,-0.8268233051923368,-0.8895592249479248,1.1394047509128593,-0.5069811786940751,1.196931665453166,-0.8270748227132175,-0.8801531503230635,-0.8632008647695849
LYZ,-0.6203672167681364,-0.752427426435097,-0.828309000991743,0.4613536941730685,0.8953691667684055,-0.7494071881218578,-0.8053739358644371,-0.1193030101464515,1.553667345920438,1.3029044280545794,1.0633518653293597,-0.8643350250128315,-0.9283071001194726,1.8802660692014388,-0.7243503222972523,1.5528111335205057,-0.8331226887422144,-0.6885621350539227,-0.7958586534143806
IFI30,0.0419640254635504,-0.9553599917345668,-0.9967259366802208,0.1942345024258977,1.0981783157824063,-0.9322743359888188,-0.7207893526865498,0.7101954720587164,1.4554596516187976,1.2564646018977952,1.3698024705311558,-0.6263164923995334,-0.9928044037127692,1.25987954745811,-0.9193583333484778,1.4548849648684632,-1.0090936564544837,-0.9190325666521724,-0.7693084824473011
MT1A,-0.4884928153455681,-0.4884928153455681,-0.3772395117548631,-0.4884928153455681,0.2917097236545049,-0.4884928153455681,-0.4884928153455681,0.9062400360353932,-0.276074154187529,-0.0744862479387732,-0.0107400487725418,-0.4884928153455681,0.1948047241382056,0.3131672880361997,-0.4884928153455681,3.9175463442450855,-0.4884928153455681,-0.4884928153455681,-0.4884928153455681
