,sample_id,class,factor,value
0,0,1,Factor 1,0.1375556674999678
1,1,1,Factor 1,-0.09351308709988942
2,2,1,Factor 1,0.5242353152621028
3,3,1,Factor 1,0.1132167894168633
4,4,1,Factor 1,0.7704947121753926
5,5,1,Factor 1,-0.2615043260659527
6,6,1,Factor 1,0.12384586546006654
7,7,1,Factor 1,-0.15650960720096924
8,8,1,Factor 1,0.6632676578330449
9,9,1,Factor 1,0.8193312234269056
10,10,1,Factor 1,-0.14438997914605997
11,11,1,Factor 1,0.09530665778601381
12,12,1,Factor 1,0.13143270822685488
13,13,1,Factor 1,0.10057074427625229
14,14,1,Factor 1,0.3464790571176817
15,15,1,Factor 1,0.5768790949810004
16,16,1,Factor 1,0.4188036822594499
17,17,1,Factor 1,-0.14465620749843813
18,18,1,Factor 1,0.179683546898663
19,19,1,Factor 1,0.6235279355573088
20,20,1,Factor 1,-0.5344905519261859
21,21,1,Factor 1,-0.2744786802241149
22,22,1,Factor 1,-0.11744953540506947
23,23,1,Factor 1,-0.15349668188761528
24,24,1,Factor 1,-0.2875984246441299
25,25,1,Factor 1,0.15611204300274212
26,26,1,Factor 1,0.024902545296857682
27,27,1,Factor 1,0.21142667232993387
28,28,1,Factor 1,0.02192756306186799
29,29,1,Factor 1,0.6823763300786748
30,30,1,Factor 1,-0.19893956681072394
31,31,1,Factor 1,-0.27372569120122764
32,32,1,Factor 1,0.31845915930683283
33,33,1,Factor 1,0.41304034257367755
34,34,1,Factor 1,0.716685604348301
35,35,1,Factor 1,-0.08198415533145806
36,36,1,Factor 1,0.03103426732144045
37,37,1,Factor 1,0.27094957564750105
38,38,1,Factor 1,-0.3643097226412334
39,39,1,Factor 1,0.6505721860359028
40,40,1,Factor 1,-0.18926213247861803
41,41,1,Factor 1,0.030801474676693818
42,42,1,Factor 1,0.6355329549187991
43,43,1,Factor 1,-0.12485126708233926
44,44,1,Factor 1,0.8702826756693302
45,45,1,Factor 1,-0.22504836771348952
46,46,1,Factor 1,0.4127062424194459
47,47,1,Factor 1,-0.14911717248036457
48,48,1,Factor 1,-0.013046261558292943
49,49,1,Factor 1,-0.22837727746901623
50,50,1,Factor 1,0.3828049999057658
51,51,1,Factor 1,0.09938207658421033
52,52,1,Factor 1,0.34902832702124076
53,53,1,Factor 1,0.20987062482092153
54,54,1,Factor 1,0.4092169296183921
55,55,1,Factor 1,-0.013973246884061985
56,56,1,Factor 1,0.41888515839114926
57,57,1,Factor 1,-0.1017143311276624
58,58,1,Factor 1,-0.29951812997388894
59,59,1,Factor 1,-0.13708870217326677
60,60,1,Factor 1,-0.08130503435404103
61,61,1,Factor 1,0.07423795612457955
62,62,1,Factor 1,-0.12166557973290967
63,63,1,Factor 1,-0.16019161129268478
64,64,1,Factor 1,-0.024448859976958108
65,65,1,Factor 1,0.5515180539930854
66,66,1,Factor 1,-0.16686997008866528
67,67,1,Factor 1,-0.06846959995422515
68,68,1,Factor 1,-0.14297536259740506
69,69,1,Factor 1,-0.09056692259501792
70,70,1,Factor 1,0.21730960743627553
71,71,1,Factor 1,-0.27942262614953706
72,72,1,Factor 1,-0.5913681000618636
73,73,1,Factor 1,0.003243758759096063
74,74,1,Factor 1,0.11690348604670853
75,75,1,Factor 1,-0.14251460023309842
76,76,1,Factor 1,-0.5007508344139247
77,77,1,Factor 1,0.10704997058483286
78,78,1,Factor 1,-0.42497033389506744
79,79,1,Factor 1,0.08855212623855899
80,80,1,Factor 1,-0.14962991703982678
81,81,1,Factor 1,0.5487486528092769
82,82,1,Factor 1,-0.020039485263598045
83,83,1,Factor 1,-0.23830708746761828
84,84,1,Factor 1,0.28109853481544556
85,85,1,Factor 1,0.19266599672205667
86,86,1,Factor 1,0.09593593665660291
87,87,1,Factor 1,0.6072508109684229
88,88,1,Factor 1,-0.27743439107855383
89,89,1,Factor 1,-0.19134487527604
90,90,1,Factor 1,0.17491501082887992
91,91,1,Factor 1,0.0073146428113351316
92,92,1,Factor 1,-0.2204144181783731
93,93,1,Factor 1,0.1473334421295613
94,94,1,Factor 1,0.09162569974247134
95,95,1,Factor 1,0.03298782175289488
96,96,1,Factor 1,0.23107420297376674
97,97,1,Factor 1,0.0864611803705197
98,98,1,Factor 1,0.297345135860862
99,99,1,Factor 1,0.8134607726895443
100,100,1,Factor 1,-0.21876970187084369
101,101,1,Factor 1,0.4541548998284817
102,102,1,Factor 1,0.6398623150904803
103,103,1,Factor 1,0.34607258802480156
104,104,1,Factor 1,0.3652568466483178
105,105,1,Factor 1,-0.2608282287824803
106,106,1,Factor 1,0.5745341262523872
107,107,1,Factor 1,-0.06669026915922291
108,108,1,Factor 1,-0.19586424159746252
109,109,1,Factor 1,0.1337179921225111
110,110,1,Factor 1,-0.03183503348491873
111,111,1,Factor 1,0.07983618658690292
112,112,1,Factor 1,0.008586425074337505
113,113,1,Factor 1,0.2001665163956447
114,114,1,Factor 1,-0.3076544662719439
115,115,1,Factor 1,0.17405475083846503
116,116,1,Factor 1,0.45611241900094635
117,117,1,Factor 1,0.41827306513151047
118,118,1,Factor 1,0.42894277799542097
119,119,1,Factor 1,0.25458090666799815
120,120,1,Factor 1,0.6002443346990637
121,121,1,Factor 1,0.15164372584377936
122,122,1,Factor 1,0.39656806514901166
123,123,1,Factor 1,0.6017734388914991
124,124,1,Factor 1,-0.21347357257045518
125,125,1,Factor 1,-0.2246622279281876
126,126,1,Factor 1,-0.15213889399440733
127,127,1,Factor 1,0.3768161809859264
128,128,1,Factor 1,0.3868761888283097
129,129,1,Factor 1,0.9114092501859667
130,130,1,Factor 1,0.19101191505701837
131,131,1,Factor 1,-0.14624654759939748
132,132,1,Factor 1,-0.034753671818440836
133,133,1,Factor 1,1.1418276490212833
134,134,1,Factor 1,0.04836044667141447
135,135,2,Factor 1,0.34279144890644375
136,136,2,Factor 1,-0.08523704910769542
137,137,2,Factor 1,-0.17853831862385983
138,138,2,Factor 1,0.023789270583336738
139,139,2,Factor 1,0.16913100215432816
140,140,2,Factor 1,-0.39814891631332416
141,141,2,Factor 1,-0.34670071225134647
142,142,2,Factor 1,0.0073561119693259
143,143,2,Factor 1,-0.6092606739679466
144,144,2,Factor 1,-0.08585357090479506
145,145,2,Factor 1,0.13788838440786175
146,146,2,Factor 1,-0.14802823957434763
147,147,2,Factor 1,-0.2073603099589306
148,148,2,Factor 1,-0.6342432685775387
149,149,2,Factor 1,-0.39174337217737376
150,150,2,Factor 1,-0.22868552849475118
151,151,2,Factor 1,-0.06475005458880792
152,152,2,Factor 1,0.25079643653982153
153,153,2,Factor 1,0.24633040714910653
154,154,2,Factor 1,0.17953619058743953
155,155,2,Factor 1,0.35580368811001
156,156,2,Factor 1,0.09037976144868863
157,157,2,Factor 1,0.3017288502403966
158,158,2,Factor 1,0.4792060236113471
159,159,2,Factor 1,-0.2384214891217425
160,160,2,Factor 1,0.13515474772343558
161,161,2,Factor 1,0.0877472465610158
162,162,2,Factor 1,-0.6674660378780194
163,163,2,Factor 1,0.21735840245006724
164,164,2,Factor 1,-0.15168100175506014
165,165,2,Factor 1,-0.046906672426594506
166,166,2,Factor 1,0.21062009240911103
167,167,2,Factor 1,-0.5546549113072714
168,168,2,Factor 1,0.16626775763336774
169,169,2,Factor 1,0.5031277096128762
170,170,2,Factor 1,-0.383945982602256
171,171,2,Factor 1,-0.23739219873259929
172,172,2,Factor 1,0.005129022571914951
173,173,2,Factor 1,0.888217851241279
174,174,2,Factor 1,-0.8147372044769777
175,175,2,Factor 1,0.292992078026463
176,176,2,Factor 1,0.5599367752200591
177,177,2,Factor 1,-0.21256214999244738
178,178,2,Factor 1,0.1452593422289865
179,179,2,Factor 1,0.16208897818604087
180,180,2,Factor 1,-0.2710577609882814
181,181,2,Factor 1,0.2193139085986971
182,182,2,Factor 1,0.27082854934689843
183,183,2,Factor 1,0.21427208753338978
184,184,2,Factor 1,0.1453399506036334
185,185,2,Factor 1,0.09040747865877734
186,186,2,Factor 1,-0.2628560093518324
187,187,2,Factor 1,-0.10274015629407797
188,188,2,Factor 1,0.47380235988726604
189,189,2,Factor 1,0.14589502712164507
190,190,2,Factor 1,-0.22321731957987845
191,191,2,Factor 1,0.024240224744860393
192,192,2,Factor 1,0.2282189572117967
193,193,2,Factor 1,0.4655940343338537
194,194,2,Factor 1,0.2400989402877803
195,195,2,Factor 1,-0.649156191156256
196,196,2,Factor 1,0.3558813179596112
197,197,2,Factor 1,0.4732311597333115
198,198,2,Factor 1,0.3633790407168107
199,199,2,Factor 1,0.2563724887190892
200,200,2,Factor 1,0.012588825064337084
201,201,2,Factor 1,0.31541962004208934
202,202,2,Factor 1,-0.4206160575645169
203,203,2,Factor 1,0.17925284920470794
204,204,2,Factor 1,0.5065464107849351
205,205,2,Factor 1,0.4408604401605107
206,206,2,Factor 1,-0.02673934230583599
207,207,2,Factor 1,0.23808952342636555
208,208,2,Factor 1,0.3827030492060857
209,209,2,Factor 1,-0.0936293420845604
210,210,2,Factor 1,0.31272422246538994
211,211,2,Factor 1,0.11785472704828422
212,212,2,Factor 1,-0.19090574306035984
213,213,2,Factor 1,0.7478804985739683
214,214,2,Factor 1,0.014608747016136323
215,215,2,Factor 1,-0.49419292353392785
216,216,2,Factor 1,0.057839459031566474
217,217,2,Factor 1,0.6788748272101437
218,218,2,Factor 1,0.38032281286300007
219,219,2,Factor 1,0.07101526038825338
220,220,2,Factor 1,-0.06795364687581991
221,221,2,Factor 1,0.2641238672600721
222,222,2,Factor 1,0.029865788984317004
223,223,2,Factor 1,-0.09398895154996915
224,224,2,Factor 1,0.0003303434704668141
225,225,2,Factor 1,-0.053483401056429576
226,226,2,Factor 1,0.3919430066245487
227,227,2,Factor 1,0.1395932722232433
228,228,2,Factor 1,-0.739215641896763
229,229,2,Factor 1,-0.3616624970375759
230,230,2,Factor 1,-0.09734598318190028
231,231,2,Factor 1,-0.24437741383075787
232,232,2,Factor 1,-0.09038552295967019
233,233,2,Factor 1,0.5381153880245555
234,234,2,Factor 1,0.9103255081908109
235,235,2,Factor 1,-0.20375033094721778
236,236,2,Factor 1,-0.16934435667118874
237,237,2,Factor 1,-0.10991914008552346
238,238,2,Factor 1,-0.4126314570015654
239,239,2,Factor 1,-0.1689927343131697
240,240,2,Factor 1,0.3411993829454994
241,241,2,Factor 1,-0.5166461896174466
242,242,2,Factor 1,-0.281565770216448
243,243,2,Factor 1,0.3360976974795271
244,244,2,Factor 1,0.03016887404467753
245,245,2,Factor 1,0.13789179601630894
246,246,2,Factor 1,-0.3163948309065752
247,247,2,Factor 1,0.2373156654274553
248,248,2,Factor 1,0.0886490823042257
249,249,2,Factor 1,0.051184164291573596
250,250,2,Factor 1,0.032821638497636384
251,251,2,Factor 1,0.2204633734022108
252,252,2,Factor 1,-0.4252546559639662
253,253,2,Factor 1,-0.3573380487549986
254,254,2,Factor 1,-0.06591161807534263
255,255,2,Factor 1,0.15962998835139577
256,256,2,Factor 1,0.3917362086119456
257,257,2,Factor 1,-0.16132903423874514
258,258,2,Factor 1,-0.3487449405659901
259,259,2,Factor 1,0.08767477849208037
260,260,2,Factor 1,-0.010817328939063491
261,261,2,Factor 1,-0.2534804843146752
262,262,2,Factor 1,-0.09646243495449613
263,263,2,Factor 1,-0.38470843059149873
264,264,2,Factor 1,-0.15647559860934548
265,265,2,Factor 1,0.04964780391388608
266,266,2,Factor 1,-0.07346099457657236
267,267,2,Factor 1,0.040638860695614856
268,268,2,Factor 1,-0.24493544992578922
269,269,2,Factor 1,-0.455719416681853
270,270,2,Factor 1,0.20885877742626255
271,271,2,Factor 1,-0.036533606920773676
272,272,2,Factor 1,-0.368524606846879
273,273,3,Factor 1,-0.3007558380110091
274,274,3,Factor 1,-0.2542198085799172
275,275,3,Factor 1,-0.009631972314646348
276,276,3,Factor 1,0.15202254820249386
277,277,3,Factor 1,-0.22498037024878997
278,278,3,Factor 1,-0.22908550458278862
279,279,3,Factor 1,0.4435753052329767
280,280,3,Factor 1,-0.359946717804368
281,281,3,Factor 1,-0.44520047921252764
282,282,3,Factor 1,-0.5451435749811157
283,283,3,Factor 1,0.12071562798372905
284,284,3,Factor 1,-0.44101075401170614
285,285,3,Factor 1,-0.014085707426358604
286,286,3,Factor 1,0.12080407775134919
287,287,3,Factor 1,-0.03855653161531631
288,288,3,Factor 1,-0.2986430343205454
289,289,3,Factor 1,0.08143468509961832
290,290,3,Factor 1,-0.642802589792383
