,Class 1,Class 2,Class 3,Class 4,Class 5,alternative,blues,country,pop,rock
Factor 1,0.0015946129280490775,0.5497991122977379,0.00022937717786183554,0.6614514865953565,0.9582530831355892,0.06266224988361328,0.8384371063745508,0.36325537970881194,0.05723418491949022,0.5716984860552453
Factor 2,0.9397015149067393,0.0003341175634090182,0.46725768675818347,0.7501478394788935,0.00966814948550709,0.0003435270499023266,0.25883076350802536,0.5085366333816008,0.7000337500608611,0.15296057255235065
Factor 3,5.842788664820181e-05,0.030264336221805882,7.068273713645158e-24,0.00010425118035501075,0.30617312488100723,0.7305273819803968,0.637995394963615,0.010343284410808043,0.11645532653420551,0.12534032312355947
Factor 4,0.34174632040394304,0.8108984875979324,2.4438296709447476e-07,6.232866708802182e-08,0.42435865505976833,0.0038096453350029372,0.12551601451684535,0.1405957071031292,0.7118422064876384,0.7291647162747948
Factor 5,0.27876438939118986,0.020478663464329694,0.07163938862285013,0.003897164403978364,2.9281919611261726e-11,0.032097854168929525,0.929641219495423,0.057365547468792355,0.26885450694377044,0.8780177653703924
Factor 6,0.10350639175600629,0.00018506642006736743,0.43347458751765844,0.04310510908609073,0.01867119612298473,1.612411363759836e-17,0.007062210210660255,0.12657705912396564,0.025294421484283618,0.014734673170447564
Factor 7,0.9219365094657198,0.4845195868137431,0.12021808438250273,0.25978740055544414,0.24238011910542923,0.00041902612861668796,7.064103222295862e-07,0.0026502213744972335,0.004466154168467981,0.08101201856904118
Factor 8,0.7681133016544542,0.7391238968794205,0.006915707953967939,0.7809353630926945,0.028211611234300393,0.03328813360599802,0.0024706464620464566,7.280805458485645e-07,0.9871581498622813,0.5807623503423369
Factor 9,0.10232718552978681,0.2621439830642066,0.024114705138267526,0.8767350206515884,0.051858354717399954,0.1200378706819956,0.03211573217402237,0.5935673926335643,1.4665120801984414e-08,0.00031693088994859587
Factor 10,0.8919657913815002,0.06048011402410874,0.6156113183810861,0.9597015707964137,0.1197032339435575,0.0076481221350574065,0.09141916283077921,0.8829395583239659,0.00042099709290817133,8.912591849916465e-08
