,topic,positive,negative
0,Topic 1,0.12235317327117765,0.0676929541654587
1,Topic 2,0.11936347702338598,0.023246939152079423
2,Topic 3,0.21184336018175176,0.07556678374262442
3,Topic 4,0.1460865475985239,0.05588780915001518
4,Topic 5,0.1261533840485947,0.08059594901406564
5,Topic 6,0.06195193329166916,0.09634029735508681
6,Topic 7,0.2432673288120554,0.07968604875156662
7,Topic 8,0.12038283531817368,0.040929256218895066
8,Topic 9,0.11750947503696237,0.06780760661310219
9,Topic 10,0.15275327158127566,0.07748417113080809
