,param,value,Models,var,sim_scenario
49,0.0,0.0,FACTM,mu0_corr,scaling_mu0
48,0.0,0.0,FACTM,mu0_corr,scaling_mu0
47,0.0,0.0,FACTM,mu0_corr,scaling_mu0
46,0.0,0.0,FACTM,mu0_corr,scaling_mu0
45,0.0,0.0,FACTM,mu0_corr,scaling_mu0
44,0.0,0.0,FACTM,mu0_corr,scaling_mu0
43,0.0,0.0,FACTM,mu0_corr,scaling_mu0
42,0.0,0.0,FACTM,mu0_corr,scaling_mu0
41,0.0,0.0,FACTM,mu0_corr,scaling_mu0
40,0.0,0.0,FACTM,mu0_corr,scaling_mu0
39,0.25,0.5878787878787878,FACTM,mu0_corr,scaling_mu0
38,0.25,0.3212121212121211,FACTM,mu0_corr,scaling_mu0
37,0.25,0.5151515151515151,FACTM,mu0_corr,scaling_mu0
36,0.25,0.6,FACTM,mu0_corr,scaling_mu0
35,0.25,0.6727272727272726,FACTM,mu0_corr,scaling_mu0
34,0.25,0.0787878787878787,FACTM,mu0_corr,scaling_mu0
33,0.25,0.5272727272727272,FACTM,mu0_corr,scaling_mu0
32,0.25,0.4545454545454545,FACTM,mu0_corr,scaling_mu0
31,0.25,-0.0545454545454545,FACTM,mu0_corr,scaling_mu0
30,0.25,0.3333333333333332,FACTM,mu0_corr,scaling_mu0
29,0.5,0.8545454545454544,FACTM,mu0_corr,scaling_mu0
28,0.5,0.6242424242424242,FACTM,mu0_corr,scaling_mu0
27,0.5,0.6606060606060605,FACTM,mu0_corr,scaling_mu0
26,0.5,0.6363636363636362,FACTM,mu0_corr,scaling_mu0
25,0.5,0.8060606060606059,FACTM,mu0_corr,scaling_mu0
24,0.5,0.4787878787878787,FACTM,mu0_corr,scaling_mu0
23,0.5,0.5272727272727272,FACTM,mu0_corr,scaling_mu0
22,0.5,0.6848484848484848,FACTM,mu0_corr,scaling_mu0
21,0.5,0.1757575757575757,FACTM,mu0_corr,scaling_mu0
20,0.5,0.6,FACTM,mu0_corr,scaling_mu0
19,0.75,0.9151515151515152,FACTM,mu0_corr,scaling_mu0
18,0.75,0.8181818181818182,FACTM,mu0_corr,scaling_mu0
17,0.75,0.7454545454545454,FACTM,mu0_corr,scaling_mu0
16,0.75,0.7212121212121211,FACTM,mu0_corr,scaling_mu0
15,0.75,0.9515151515151514,FACTM,mu0_corr,scaling_mu0
14,0.75,0.6606060606060605,FACTM,mu0_corr,scaling_mu0
13,0.75,0.5636363636363636,FACTM,mu0_corr,scaling_mu0
12,0.75,0.9393939393939392,FACTM,mu0_corr,scaling_mu0
11,0.75,0.5030303030303029,FACTM,mu0_corr,scaling_mu0
10,0.75,0.7575757575757575,FACTM,mu0_corr,scaling_mu0
9,1.0,0.9515151515151514,FACTM,mu0_corr,scaling_mu0
8,1.0,0.8545454545454544,FACTM,mu0_corr,scaling_mu0
7,1.0,0.9393939393939392,FACTM,mu0_corr,scaling_mu0
6,1.0,0.7696969696969697,FACTM,mu0_corr,scaling_mu0
5,1.0,0.8787878787878788,FACTM,mu0_corr,scaling_mu0
4,1.0,0.8060606060606059,FACTM,mu0_corr,scaling_mu0
3,1.0,0.6848484848484848,FACTM,mu0_corr,scaling_mu0
2,1.0,0.9757575757575756,FACTM,mu0_corr,scaling_mu0
1,1.0,0.6484848484848483,FACTM,mu0_corr,scaling_mu0
0,1.0,0.9393939393939392,FACTM,mu0_corr,scaling_mu0
49,0.0,0.0,FACTM(R),mu0_corr,scaling_mu0
48,0.0,0.0,FACTM(R),mu0_corr,scaling_mu0
