,param,value,Models,var,sim_scenario
29,10.0,0.9365018506695355,FACTM,z_corr_rotated,scaling_topics_param
28,10.0,0.9385631479913139,FACTM,z_corr_rotated,scaling_topics_param
27,10.0,0.9311818861777581,FACTM,z_corr_rotated,scaling_topics_param
26,10.0,0.9320719962782743,FACTM,z_corr_rotated,scaling_topics_param
25,10.0,0.9270933011191207,FACTM,z_corr_rotated,scaling_topics_param
24,10.0,0.961174132158793,FACTM,z_corr_rotated,scaling_topics_param
23,10.0,0.9540968807411003,FACTM,z_corr_rotated,scaling_topics_param
22,10.0,0.9263074230652316,FACTM,z_corr_rotated,scaling_topics_param
21,10.0,0.9559885472977772,FACTM,z_corr_rotated,scaling_topics_param
20,10.0,0.959084860416055,FACTM,z_corr_rotated,scaling_topics_param
19,5.0,0.9359880714827711,FACTM,z_corr_rotated,scaling_topics_param
18,5.0,0.9373503867397588,FACTM,z_corr_rotated,scaling_topics_param
17,5.0,0.9304811928156969,FACTM,z_corr_rotated,scaling_topics_param
16,5.0,0.9329628429904234,FACTM,z_corr_rotated,scaling_topics_param
15,5.0,0.9257458129467244,FACTM,z_corr_rotated,scaling_topics_param
14,5.0,0.9626564325324709,FACTM,z_corr_rotated,scaling_topics_param
13,5.0,0.9557266969331192,FACTM,z_corr_rotated,scaling_topics_param
12,5.0,0.91022495482066,FACTM,z_corr_rotated,scaling_topics_param
11,5.0,0.9565224450982356,FACTM,z_corr_rotated,scaling_topics_param
10,5.0,0.9563955000851287,FACTM,z_corr_rotated,scaling_topics_param
9,1.0,0.9377888846637157,FACTM,z_corr_rotated,scaling_topics_param
8,1.0,0.9385875171198326,FACTM,z_corr_rotated,scaling_topics_param
7,1.0,0.9320051964376945,FACTM,z_corr_rotated,scaling_topics_param
6,1.0,0.933530006558086,FACTM,z_corr_rotated,scaling_topics_param
5,1.0,0.924106252455327,FACTM,z_corr_rotated,scaling_topics_param
4,1.0,0.9617250432048868,FACTM,z_corr_rotated,scaling_topics_param
3,1.0,0.9541067588052492,FACTM,z_corr_rotated,scaling_topics_param
2,1.0,0.9168772760632443,FACTM,z_corr_rotated,scaling_topics_param
1,1.0,0.9565476642150161,FACTM,z_corr_rotated,scaling_topics_param
0,1.0,0.9600102672282986,FACTM,z_corr_rotated,scaling_topics_param
29,10.0,0.9370985548313332,FACTM(R),z_corr_rotated,scaling_topics_param
28,10.0,0.9367025773111193,FACTM(R),z_corr_rotated,scaling_topics_param
27,10.0,0.930084990453971,FACTM(R),z_corr_rotated,scaling_topics_param
26,10.0,0.9325776158357675,FACTM(R),z_corr_rotated,scaling_topics_param
25,10.0,0.9268247510604322,FACTM(R),z_corr_rotated,scaling_topics_param
24,10.0,0.9621252680645735,FACTM(R),z_corr_rotated,scaling_topics_param
23,10.0,0.9540968807411003,FACTM(R),z_corr_rotated,scaling_topics_param
22,10.0,0.9149397395807899,FACTM(R),z_corr_rotated,scaling_topics_param
21,10.0,0.9567453717246794,FACTM(R),z_corr_rotated,scaling_topics_param
20,10.0,0.9594758520822138,FACTM(R),z_corr_rotated,scaling_topics_param
19,5.0,0.9370632013429047,FACTM(R),z_corr_rotated,scaling_topics_param
18,5.0,0.9373503867397588,FACTM(R),z_corr_rotated,scaling_topics_param
17,5.0,0.9304197742493848,FACTM(R),z_corr_rotated,scaling_topics_param
16,5.0,0.9320982340611869,FACTM(R),z_corr_rotated,scaling_topics_param
15,5.0,0.9181353113353394,FACTM(R),z_corr_rotated,scaling_topics_param
14,5.0,0.9626564325324709,FACTM(R),z_corr_rotated,scaling_topics_param
13,5.0,0.9557266969331192,FACTM(R),z_corr_rotated,scaling_topics_param
12,5.0,0.91022495482066,FACTM(R),z_corr_rotated,scaling_topics_param
11,5.0,0.9576558266598255,FACTM(R),z_corr_rotated,scaling_topics_param
10,5.0,0.9570572095385759,FACTM(R),z_corr_rotated,scaling_topics_param
9,1.0,0.9377888846637157,FACTM(R),z_corr_rotated,scaling_topics_param
8,1.0,0.9385875171198326,FACTM(R),z_corr_rotated,scaling_topics_param
7,1.0,0.9320051964376945,FACTM(R),z_corr_rotated,scaling_topics_param
6,1.0,0.933530006558086,FACTM(R),z_corr_rotated,scaling_topics_param
5,1.0,0.924106252455327,FACTM(R),z_corr_rotated,scaling_topics_param
4,1.0,0.9617250432048868,FACTM(R),z_corr_rotated,scaling_topics_param
3,1.0,0.9541067588052492,FACTM(R),z_corr_rotated,scaling_topics_param
2,1.0,0.9168772760632443,FACTM(R),z_corr_rotated,scaling_topics_param
1,1.0,0.9565476642150161,FACTM(R),z_corr_rotated,scaling_topics_param
0,1.0,0.9600102672282986,FACTM(R),z_corr_rotated,scaling_topics_param
29,10.0,0.8287053623845047,FA+CTM,z_corr_rotated,scaling_topics_param
28,10.0,0.5863644511363204,FA+CTM,z_corr_rotated,scaling_topics_param
27,10.0,0.8359522049484207,FA+CTM,z_corr_rotated,scaling_topics_param
26,10.0,0.6699762037597842,FA+CTM,z_corr_rotated,scaling_topics_param
25,10.0,0.7856537361114173,FA+CTM,z_corr_rotated,scaling_topics_param
24,10.0,0.7350174800889463,FA+CTM,z_corr_rotated,scaling_topics_param
23,10.0,0.5396417908552075,FA+CTM,z_corr_rotated,scaling_topics_param
22,10.0,0.7030703808768101,FA+CTM,z_corr_rotated,scaling_topics_param
21,10.0,0.7191862644502869,FA+CTM,z_corr_rotated,scaling_topics_param
20,10.0,0.8519754277705534,FA+CTM,z_corr_rotated,scaling_topics_param
19,5.0,0.63239154571389,FA+CTM,z_corr_rotated,scaling_topics_param
18,5.0,0.785847338281411,FA+CTM,z_corr_rotated,scaling_topics_param
17,5.0,0.6001667425208865,FA+CTM,z_corr_rotated,scaling_topics_param
16,5.0,0.6525575189637071,FA+CTM,z_corr_rotated,scaling_topics_param
15,5.0,0.6718643878032567,FA+CTM,z_corr_rotated,scaling_topics_param
14,5.0,0.8882742680284282,FA+CTM,z_corr_rotated,scaling_topics_param
13,5.0,0.7113705062719845,FA+CTM,z_corr_rotated,scaling_topics_param
12,5.0,0.714708540199267,FA+CTM,z_corr_rotated,scaling_topics_param
11,5.0,0.7511417589606855,FA+CTM,z_corr_rotated,scaling_topics_param
10,5.0,0.7425805288003678,FA+CTM,z_corr_rotated,scaling_topics_param
9,1.0,0.9366125245380637,FA+CTM,z_corr_rotated,scaling_topics_param
8,1.0,0.7942129340496521,FA+CTM,z_corr_rotated,scaling_topics_param
7,1.0,0.9149704259698177,FA+CTM,z_corr_rotated,scaling_topics_param
6,1.0,0.7594005820213077,FA+CTM,z_corr_rotated,scaling_topics_param
5,1.0,0.7401526588185217,FA+CTM,z_corr_rotated,scaling_topics_param
4,1.0,0.9602176213982953,FA+CTM,z_corr_rotated,scaling_topics_param
3,1.0,0.9535374840387754,FA+CTM,z_corr_rotated,scaling_topics_param
2,1.0,0.9118705865150352,FA+CTM,z_corr_rotated,scaling_topics_param
1,1.0,0.9546468238941219,FA+CTM,z_corr_rotated,scaling_topics_param
0,1.0,0.9588492467170212,FA+CTM,z_corr_rotated,scaling_topics_param
29,10.0,0.9348202403017518,FA,z_corr_rotated,scaling_topics_param
28,10.0,0.9352762711774826,FA,z_corr_rotated,scaling_topics_param
27,10.0,0.9324095168107176,FA,z_corr_rotated,scaling_topics_param
26,10.0,0.9306113598250304,FA,z_corr_rotated,scaling_topics_param
25,10.0,0.9274634429367771,FA,z_corr_rotated,scaling_topics_param
24,10.0,0.9624628815934736,FA,z_corr_rotated,scaling_topics_param
23,10.0,0.952693892253893,FA,z_corr_rotated,scaling_topics_param
22,10.0,0.9260135174293177,FA,z_corr_rotated,scaling_topics_param
21,10.0,0.9533258128014438,FA,z_corr_rotated,scaling_topics_param
20,10.0,0.9583209876068173,FA,z_corr_rotated,scaling_topics_param
19,5.0,0.9348202403017518,FA,z_corr_rotated,scaling_topics_param
18,5.0,0.9352762711774826,FA,z_corr_rotated,scaling_topics_param
17,5.0,0.9324095168107176,FA,z_corr_rotated,scaling_topics_param
16,5.0,0.9306113598250304,FA,z_corr_rotated,scaling_topics_param
15,5.0,0.9274634429367771,FA,z_corr_rotated,scaling_topics_param
14,5.0,0.9624628815934736,FA,z_corr_rotated,scaling_topics_param
13,5.0,0.952693892253893,FA,z_corr_rotated,scaling_topics_param
12,5.0,0.9260135174293177,FA,z_corr_rotated,scaling_topics_param
11,5.0,0.9533258128014438,FA,z_corr_rotated,scaling_topics_param
10,5.0,0.9583209876068173,FA,z_corr_rotated,scaling_topics_param
9,1.0,0.9348202403017518,FA,z_corr_rotated,scaling_topics_param
8,1.0,0.9352762711774826,FA,z_corr_rotated,scaling_topics_param
7,1.0,0.9324095168107176,FA,z_corr_rotated,scaling_topics_param
