,param,value,Models,var,sim_scenario
29,15,0.6542571428571428,FACTM,muFA_corr_spearmann,scaling_D_topics
28,15,0.5510571428571428,FACTM,muFA_corr_spearmann,scaling_D_topics
27,15,0.49747142857142845,FACTM,muFA_corr_spearmann,scaling_D_topics
26,15,0.6842571428571428,FACTM,muFA_corr_spearmann,scaling_D_topics
25,15,0.5445714285714286,FACTM,muFA_corr_spearmann,scaling_D_topics
24,15,0.49817142857142854,FACTM,muFA_corr_spearmann,scaling_D_topics
23,15,0.5894857142857142,FACTM,muFA_corr_spearmann,scaling_D_topics
22,15,0.4982714285714285,FACTM,muFA_corr_spearmann,scaling_D_topics
21,15,0.4649571428571428,FACTM,muFA_corr_spearmann,scaling_D_topics
20,15,0.7608142857142856,FACTM,muFA_corr_spearmann,scaling_D_topics
19,10,0.7095272727272727,FACTM,muFA_corr_spearmann,scaling_D_topics
18,10,0.680921212121212,FACTM,muFA_corr_spearmann,scaling_D_topics
17,10,0.5508363636363636,FACTM,muFA_corr_spearmann,scaling_D_topics
16,10,0.7025454545454544,FACTM,muFA_corr_spearmann,scaling_D_topics
15,10,0.6684121212121211,FACTM,muFA_corr_spearmann,scaling_D_topics
14,10,0.6963393939393938,FACTM,muFA_corr_spearmann,scaling_D_topics
13,10,0.7048242424242424,FACTM,muFA_corr_spearmann,scaling_D_topics
12,10,0.5898666666666667,FACTM,muFA_corr_spearmann,scaling_D_topics
11,10,0.708121212121212,FACTM,muFA_corr_spearmann,scaling_D_topics
10,10,0.7356121212121212,FACTM,muFA_corr_spearmann,scaling_D_topics
9,5,0.6491999999999999,FACTM,muFA_corr_spearmann,scaling_D_topics
8,5,0.5871999999999999,FACTM,muFA_corr_spearmann,scaling_D_topics
7,5,0.5895999999999999,FACTM,muFA_corr_spearmann,scaling_D_topics
6,5,0.6207999999999999,FACTM,muFA_corr_spearmann,scaling_D_topics
5,5,0.5384,FACTM,muFA_corr_spearmann,scaling_D_topics
4,5,0.5728,FACTM,muFA_corr_spearmann,scaling_D_topics
3,5,0.7027999999999999,FACTM,muFA_corr_spearmann,scaling_D_topics
2,5,0.5971999999999998,FACTM,muFA_corr_spearmann,scaling_D_topics
1,5,0.6396,FACTM,muFA_corr_spearmann,scaling_D_topics
0,5,0.7587999999999999,FACTM,muFA_corr_spearmann,scaling_D_topics
29,15,0.6542571428571428,FACTM(R),muFA_corr_spearmann,scaling_D_topics
28,15,0.5510571428571428,FACTM(R),muFA_corr_spearmann,scaling_D_topics
27,15,0.49724285714285704,FACTM(R),muFA_corr_spearmann,scaling_D_topics
26,15,0.6842571428571428,FACTM(R),muFA_corr_spearmann,scaling_D_topics
25,15,0.5445714285714286,FACTM(R),muFA_corr_spearmann,scaling_D_topics
24,15,0.4980571428571428,FACTM(R),muFA_corr_spearmann,scaling_D_topics
23,15,0.6692857142857143,FACTM(R),muFA_corr_spearmann,scaling_D_topics
22,15,0.4982714285714285,FACTM(R),muFA_corr_spearmann,scaling_D_topics
21,15,0.4649571428571428,FACTM(R),muFA_corr_spearmann,scaling_D_topics
20,15,0.7608142857142856,FACTM(R),muFA_corr_spearmann,scaling_D_topics
19,10,0.7095272727272727,FACTM(R),muFA_corr_spearmann,scaling_D_topics
18,10,0.680921212121212,FACTM(R),muFA_corr_spearmann,scaling_D_topics
17,10,0.5508363636363636,FACTM(R),muFA_corr_spearmann,scaling_D_topics
16,10,0.7025454545454544,FACTM(R),muFA_corr_spearmann,scaling_D_topics
15,10,0.6684121212121211,FACTM(R),muFA_corr_spearmann,scaling_D_topics
14,10,0.6963393939393938,FACTM(R),muFA_corr_spearmann,scaling_D_topics
